antecedente,consecuente,confidence,support,lift
"('Mask Off', 'Bounce Back')","('HUMBLE.',)",0.743,0.01,15.971
"('Bounce Back', 'HUMBLE.')","('Mask Off',)",0.647,0.01,20.488
"('iSpy (feat. Lil Yachty)', 'HUMBLE.')","('Congratulations',)",0.703,0.011,17.45
"('iSpy (feat. Lil Yachty)', 'Congratulations')","('HUMBLE.',)",0.673,0.011,14.47
"('HUMBLE.', 'Congratulations')","('iSpy (feat. Lil Yachty)',)",0.509,0.011,15.388
"('Mask Off', 'HUMBLE.')","('goosebumps',)",0.539,0.011,17.507
"('Mask Off', 'goosebumps')","('HUMBLE.',)",0.743,0.011,15.984
"('HUMBLE.', 'goosebumps')","('Mask Off',)",0.659,0.011,20.844
"('Mask Off', 'iSpy (feat. Lil Yachty)')","('HUMBLE.',)",0.687,0.01,14.776
"('iSpy (feat. Lil Yachty)', 'HUMBLE.')","('Mask Off',)",0.652,0.01,20.621
"('Tunnel Vision', 'HUMBLE.')","('XO TOUR Llif3',)",0.734,0.01,22.719
"('Tunnel Vision', 'XO TOUR Llif3')","('HUMBLE.',)",0.75,0.01,16.129
"('HUMBLE.', 'XO TOUR Llif3')","('Tunnel Vision',)",0.5,0.01,20.243
"('Congratulations', 'goosebumps')","('XO TOUR Llif3',)",0.671,0.01,20.773
"('Congratulations', 'XO TOUR Llif3')","('goosebumps',)",0.581,0.01,18.864
"('goosebumps', 'XO TOUR Llif3')","('Congratulations',)",0.684,0.01,16.978
"('Mask Off', 'Congratulations')","('XO TOUR Llif3',)",0.66,0.011,20.449
"('Mask Off', 'XO TOUR Llif3')","('Congratulations',)",0.656,0.011,16.289
"('Congratulations', 'XO TOUR Llif3')","('Mask Off',)",0.598,0.011,18.917
"('Mask Off', 'HUMBLE.')","('XO TOUR Llif3',)",0.642,0.013,19.881
"('Mask Off', 'XO TOUR Llif3')","('HUMBLE.',)",0.804,0.013,17.283
"('HUMBLE.', 'XO TOUR Llif3')","('Mask Off',)",0.642,0.013,20.321
"('HUMBLE.', 'goosebumps')","('XO TOUR Llif3',)",0.665,0.011,20.578
"('HUMBLE.', 'XO TOUR Llif3')","('goosebumps',)",0.544,0.011,17.666
"('goosebumps', 'XO TOUR Llif3')","('HUMBLE.',)",0.73,0.011,15.705
"('HUMBLE.', 'Congratulations')","('goosebumps',)",0.523,0.011,16.992
"('HUMBLE.', 'goosebumps')","('Congratulations',)",0.671,0.011,16.642
"('Congratulations', 'goosebumps')","('HUMBLE.',)",0.723,0.011,15.539
"('HUMBLE.', 'Congratulations')","('XO TOUR Llif3',)",0.598,0.013,18.518
"('HUMBLE.', 'XO TOUR Llif3')","('Congratulations',)",0.627,0.013,15.57
"('Congratulations', 'XO TOUR Llif3')","('HUMBLE.',)",0.715,0.013,15.378
